"Codigo"|"Estado"|"Cod. Proveedor"|"Proveedor"|"Nombre"|"Descripcion"|"Marca"|"Precio final"|"Precio super"|"Stock"
"ALM11001"|"activo"|"5"|"La Virginia"|"Chocolate en polvo 180 g"|"Chocolino"|"Chocolino"|"30.76"|"39.04"|""
"ALM12001"|"activo"|"7"|"Titrayju"|"Yerba 1 k"|"Tierra, Trabajo y Justicia"|"Titrayju"|"113.85"|"190.0"|""
"ALM12002"|"oculto"|"7"|"Titrayju"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM12003"|"activo"|"3"|"Distribución Rosario"|"Yerba 1 kg"|""|"Andresito"|"94.63"|"153.65"|""
"ALM12004"|"oculto"|"3"|"Distribución Rosario"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM12005"|"oculto"|"3"|"Distribución Rosario"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM40001"|"oculto"|"3"|"Distribución Rosario"|"Edulcorante 250 cc"|"Si Diet"|""|"44.28"|"53.83"|""
"ALM40002"|"oculto"|"3"|"Distribución Rosario"|"Edulcorante en polvo 50u."|"Hileret"|"Hileret"|"0.0"|"0.0"|""
"ALM20003"|"oculto"|"9"|"Poroto Santto"|"Mermelada naranja 400gr."|"Poroto Santto"|"Poroto Santto"|"0.0"|"0.0"|""
"ALM20006"|"activo"|"8"|"Alimentos Natureza"|"Mermelada tomate 450 g"|""|"Alimentos Natureza"|"115.5"|"130.0"|""
"ALM20007"|"oculto"|"8"|"Alimentos Natureza"|"Mermelada calabaza 450 g"|""|"Alimentos Natureza"|"115.5"|"0.0"|"1"
"ALM23001"|"activo"|"10"|"Lácteos La Resistencia"|"Dulce de leche 400 g"|"Lácteos La Resistencia"|"Tan Violentamente Dulce"|"88.0"|"115.45"|""
"ALM37001"|"oculto"|"17"|"Nonna Amalia"|"Miel 1kg."|"Nonna Amalia"|"Nonna Amalia"|"0.0"|"0.0"|""
"ALM37002"|"oculto"|"17"|"Nonna Amalia"|"Miel 500gr."|"Nonna Amalia"|"Nonna Amalia"|"0.0"|"0.0"|""
"ALM37003"|"oculto"|"1"|"Genérico"|"Miel 1kg."|"Reyna del Litoral - 1 Kg Directo del productor"|"Genérico"|"0.0"|"0.0"|""
"ALM37004"|"oculto"|"1"|"Genérico"|"Miel 500gr."|"Reyna del Litoral - 500 g Directo del productor"|"Genérico"|"0.0"|"0.0"|""
"ALM14001"|"oculto"|"74"|"Distribuidora Terán"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM15001"|"oculto"|"74"|"Distribuidora Terán"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM15002"|"oculto"|"74"|"Distribuidora Terán"|"#N/A"|"#N/A"|"#N/A"|"0.0"|"0.0"|"0"
"ALM16001"|"activo"|"3"|"Distribución Rosario"|"Atún en lata lomito 170 g"|""|"Bahía"|"77.39"|"91.99"|""
"ALM16002"|"activo"|"3"|"Distribución Rosario"|"Atún en lata desmenuzado 170 g"|""|"Bahía"|"46.58"|"72.61"|""
"ALM17002"|"oculto"|"3"|"Distribución Rosario"|"Tomate triturado 980cc"|"Oreste"|"Oreste"|"0.0"|"0.0"|""
"ALM19001"|"activo"|"3"|"Distribución Rosario"|"Puré de tomate 530 g"|""|"Mora"|"18.27"|"32.54"|""
"ALM43001"|"oculto"|"3"|"Distribución Rosario"|"Tomate perita 400 g"|""|"Mora"|"24.28"|"31.84"|"1"
"ALM13001"|"activo"|"3"|"Distribución Rosario"|"Harina 0000 1 kg"|""|"Chacabuco"|"39.62"|"45.0"|""
"ALM28001"|"activo"|"4"|"Distribuidora Parodi"|"Arroz largo fino 1 kg"|""|"Lucchetti"|"42.15"|"47.75"|""
"ALM28003"|"oculto"|"6"|"FECOFE"|"Arroz 1kg."|"El Entrerriano (FECOFE)"|"El Entrerriano"|"0.0"|"0.0"|""
"ALM29003"|"oculto"|"6"|"FECOFE"|"Fideos laminados verdes 500gr."|"Pasta Sur (FECOFE)"|"Pasta Sur"|"0.0"|"0.0"|""
"ALM30001"|"oculto"|"3"|"Distribución Rosario"|"Polenta 500gr."|"Lopani"|"Lopani"|"0.0"|"0.0"|""
"ALM34001"|"oculto"|"77"|"Tu Cosecha"|"Maíz pisingallo 400gr."|"Tu cosecha. Bernardo de Irigoyen (Santa Fe)"|"Tu Cosecha"|"0.0"|"0.0"|""
"ALM44001"|"activo"|"4"|"Distribuidora Parodi"|"Rebozador 500 g"|""|"Preferido"|"60.1"|"62.34"|""
"ALM36003"|"oculto"|"65"|"Artemio"|"Vino Malbec 750ml."|""|"Trapiche Varietal"|"0.0"|"0.0"|""
"ALM36004"|"oculto"|"65"|"Artemio"|"Vino Cabernet 750ml."|""|"Trapiche Varietal"|"0.0"|"0.0"|""
"ALM50001"|"oculto"|"3"|"Distribución Rosario"|"Jugo en polvo 1 u"|"Naranja"|"Tang"|"4.8"|"11.22"|""
"ALM24001"|"oculto"|"11"|"Fargo"|"Pan lactal lacteado 590gr."|"Lactal"|"Lactal"|"0.0"|"0.0"|""
"ALM24002"|"oculto"|"11"|"Fargo"|"Pan para hamburguesas 4u."|"Lactal"|"Lactal"|"0.0"|"0.0"|""
"ALM24003"|"oculto"|"11"|"Fargo"|"Pan para panchos 6u."|"Lactal"|"Lactal"|"0.0"|"0.0"|""
"ALM24004"|"oculto"|"11"|"Fargo"|"Pan lactal salvado 380gr."|"Lactal"|"Lactal"|"0.0"|"0.0"|""
"ALM24005"|"oculto"|"11"|"Fargo"|"Tostadas de mesa 250gr."|"Caricias"|"Caricias"|"0.0"|"0.0"|""
"ALM24008"|"oculto"|"11"|"Fargo"|"Pan mix de cereales 530gr."|"Fargo"|"Fargo"|"0.0"|"0.0"|""
"ALM25004"|"activo"|"11"|"Fargo"|"Bizcochos salados 200 g"|""|"9 de Oro"|"23.4"|"36.7"|""
"ALM25001"|"activo"|"11"|"Fargo"|"Bizcochos agridulces 200 g"|""|"9 de Oro"|"23.4"|"36.79"|""
"ALM25002"|"oculto"|"12"|"Tyna"|"Bizcochos salados 200gr."|"Don Satur"|"Don Satur"|"0.0"|"0.0"|""
"ALM25003"|"oculto"|"12"|"Tyna"|"Bizcochos dulces 200 g"|""|"Don Satur"|"12.6"|"34.86"|""
"ALM25005"|"oculto"|"12"|"Tyna"|"Galletitas dulces 350gr."|"Celosas"|"Celosas"|"0.0"|"0.0"|""
"ALM25006"|"oculto"|"12"|"Tyna"|"Galletitas de agua 3u. 300gr."|"Leiva"|"Leiva"|"0.0"|"28.0"|""
"ALM49001"|"oculto"|"11"|"Fargo"|"Pionono 200gr."|"Fargo"|"Fargo"|"0.0"|"0.0"|""
"ALM49005"|"oculto"|"11"|"Fargo"|"Budín limón 250gr."|"Bimbo"|"Bimbo"|"0.0"|"0.0"|""
"ALM49006"|"oculto"|"11"|"Fargo"|"Budín vainilla 250gr."|"Bimbo"|"Bimbo"|"0.0"|"0.0"|""
"ALM49007"|"oculto"|"11"|"Fargo"|"Budín marmolado 250gr."|"Bimbo"|"Bimbo"|"0.0"|"0.0"|""
"ALM41001"|"oculto"|"3"|"Distribución Rosario"|"Duraznos en lata 800 g"|""|"Mora"|"45.36"|"58.99"|""
"FRE13002"|"oculto"|"6"|"FECOFE"|"Dulce de batata 500gr."|"Blasón (FECOFE)"|"Blasón"|"0.0"|"0.0"|""
"FRE13003"|"oculto"|"6"|"FECOFE"|"Dulce de batata con chocolate 500gr."|"Blasón (FECOFE)"|"Blasón"|"0.0"|"0.0"|""
"FRE08001"|"activo"|"27"|"Embutidos Natali"|"Bondiola 400 g"|""|"Embutidos Natali"|"187.44"|"430.0"|""
"FRE08003"|"oculto"|"27"|"Embutidos Natali"|"Panceta arrollada 400gr."|"Embutidos Natali"|"Embutidos Natali"|"0.0"|"0.0"|""
"FRE09001"|"oculto"|"9"|"Poroto Santto"|"Medallones soja no transgénica y arroz jazmín integral 4u."|"Poroto Santto"|"Poroto Santto"|"0.0"|"0.0"|""
"FRE09002"|"oculto"|"9"|"Poroto Santto"|"Medallones lenteja trigo y batata 4u."|"Poroto Santto"|"Poroto Santto"|"0.0"|"0.0"|""
"FRE09003"|"oculto"|"9"|"Poroto Santto"|"Medallones arvejas y maiz 4u."|"Poroto Santto"|"Poroto Santto"|"0.0"|"0.0"|""
"FRE14001"|"activo"|"28"|"Mil Hojas"|"Tapas de empanadas 15 u"|""|"Don Sixto"|"30.42"|"50.88"|""
"FRE14002"|"activo"|"28"|"Mil Hojas"|"Tapas de tarta 2 u"|""|"Don Sixto"|"30.42"|"57.49"|""
"FRE04002"|"activo"|"24"|"Lácteos Rosario"|"Queso cremoso 500 g"|""|"Lácteos Rosario"|"104.5"|"160.0"|""
"FRE04003"|"oculto"|"25"|"APyMIL / Rocío Del Campo"|"Queso cremoso 500gr."|""|"Rocío Del Campo"|"0.0"|"0.0"|""
"FRE04004"|"activo"|"10"|"Lácteos La Resistencia"|"Queso reggianito 250 g"|""|"Lácteos La Resistencia"|"99.0"|"196.25"|""
"FRE05001"|"activo"|"10"|"Lácteos La Resistencia"|"Queso saborizado pimienta 350 g"|""|"Lácteos La Resistencia"|"115.5"|"190.75"|""
"FRE05002"|"activo"|"10"|"Lácteos La Resistencia"|"Queso saborizado ají orégano 350 g"|""|"Lácteos La Resistencia"|"115.5"|"190.75"|""
"FRE05003"|"activo"|"10"|"Lácteos La Resistencia"|"Queso saborizado provenzal 350 g"|""|"Lácteos La Resistencia"|"115.5"|"190.75"|""
"HIP01001"|"oculto"|"21"|"Cooperativa Prunelle"|"Shampoo 930cc."|"Cooperativa Prunelle"|"Cooperativa Prunelle"|"0.0"|"0.0"|""
"HIP01002"|"oculto"|"21"|"Cooperativa Prunelle"|"Acondicionador 930cc."|"Cooperativa Prunelle"|"Cooperativa Prunelle"|"0.0"|"0.0"|""
"HIP01003"|"activo"|"4"|"Distribuidora Parodi"|"Shampoo 400 ml"|""|"Tresemmé"|"145.65"|"172.68"|""
