C,#,Producto,Sec
46,2,Bizcochos agridulces 200 g - 9 de Oro,ALM
46,2,Bizcochos salados 200 g - 9 de Oro,ALM
46,1,Mayonesa 500 g - Zanoni,ALM
46,1,Mostaza 250 g - Savora,ALM
46,1,Manies pelados salados 250 g - Pronoar,ALM
46,1,Magdalenas rellenas con dulce de leche 250 g - Pozo,FRA
46,1,2 pizzetas integrales - coco Eco,FRA
46,2,Galletitas dulces con avena 180 g - Marinozzi,FRA
46,2,Tortillas para tacos 12 u - Jalisqueño,FRA
46,1,Copos de Maiz tradicionales x 160 g - Granix,FRA
46,1,Prepizza 2 u - Mil Hojas,FRE
46,1,Pechito de cerdo - Frigorifico Giusti,FRE
46,1,Marucha de cerdo 1k - Frigorífico Los Abuelos,FRE
46,1,Jamón Crudo feteado 150 g - Embutidos Natali,FRE
46,1,Jamón cocido feteado 150 g - Embutidos Natali,FRE
46,3,Queso cremoso 500 g - Lácteos Rosario,FRE
46,1,Manteca pan 200 g - La Cabaña,FRE
46,1,Provoletas 2 u - Lácteos La Resistencia,FRE
46,2,Crema de leche 200 g - La Cabaña,FRE
46,1,Tallarines al huevo 1/2 K - Pastas Garcia,FRE
46,2,Tapas de tarta 2 u - Don Sixto,FRE
46,1,Costeletitas de cerdo 900 g - Frigorifico Giusti,FRZ
46,3,Lavandina 1000 cc - Cooperativa La Esperanza,LIM
46,2,Jabón líquido para ropa - Cooperativa La Esperanza,LIM
46,1,Trapo amarillo 1 u - Cooperativa La Esperanza,LIM
46,1,Yerba 1 k - Titrayju,PCL
46,2,Yerba 1 kg - Andresito,PCL
46,4,Leche largavida Entera 1 L - Milkaut,PCL
46,1,Rollos de cocina 3 u - Dicha,PCL
49,2,Aceite de girasol 900 cc - Zanoni,ALM
49,1,Aceite de oliva organico extra virgen 500 cc - Pronoar,ALM
49,1,Salsa de soja 500 cc - Chuantong,ALM
49,3,Garbanzos en lata remojados 350 g - Del Agricultor,ALM
49,2,Tomate perita 400 g - Mora,ALM
49,1,Puré de tomate 530 g - Mora,ALM
49,1,Atún en lata lomito 170 g - Bahía,ALM
49,1,Palmito enteros 400 g - Bahía,ALM
49,1,Aceitunas verdes nº 0 x 360 gr - Buena Cosecha,ALM
49,1,Rebozador 500 g - Preferido,ALM
49,1,Harina integral agroecológica 500 g - Poroto Santto,ALM
49,1,Bizcochos agridulces 200 g - 9 de Oro,ALM
49,1,Bizcochos salados 200 g - 9 de Oro,ALM
49,1,Galletitas Pepas 400 g - Terepín,ALM
49,1,Mayonesa 500 g - Zanoni,ALM
49,1,Condimento ají 50 g - Alicante,ALM
49,2,Yerba mate 25 u - La Hoja,ALM
49,1,Manies pelados salados 250 g - Pronoar,ALM
49,1,Miel 500 g - Entre Pétalos,ALM
49,1,Tostadas de mesa 200 g - Marinozzi,FRA
49,1,Barrita de arroz con baño blanco 6 u - Crowie,FRA
49,1,Familiar Salvado 600 g - Don Yeyo,FRA
49,1,Pan molde de Salvado con semillas 800 g (guardar en lugar fresco) - Alimentos con Amor,FRA
49,1,Galletitas de arroz 150 g - Molinos del Bosque,FRA
49,1,Cuadrada feteada 850 g - Frigorifico Giusti,FRE
49,1,Jamón Crudo feteado 150 g - Embutidos Natali,FRE
49,1,Salchichas 6 u - Frigorífico Swift,FRE
49,2,Queso cremoso 500 g - Lácteos Rosario,FRE
49,1,Manteca pan 200 g - La Cabaña,FRE
49,1,Provoletas 2 u - Lácteos La Resistencia,FRE
49,1,Queso saborizado provenzal 350 g - Lácteos La Resistencia,FRE
49,1,Queso barra 400 g - Lácteos La Resistencia,FRE
49,2,Milanesas de soja 4 u - Shanti,FRE
49,1,Ravioles ricota 1 K - Pastas Garcia,FRE
49,1,Crema de leche 200 g - La Cabaña,FRE
49,1,Tapas de tarta 2 u - Don Sixto,FRE
49,6,Yoghurt pote frutilla descremado 200 g - Milkaut,FRE
49,1,Yoghurt pote vainilla entero 200 g - Milkaut,FRE
49,1,Ñoquis de papa 750 g - Pastas Garcia,FRE
49,1,Raviolones integrales de Ricota y Nuez - Panamby,FRZ
49,1,Ravioles de rucula y parmesano 1 k - Alimentos con Amor,FRZ
49,1,Costeletitas de cerdo 900 g - Frigorifico Giusti,FRZ
49,1,"Medallones de merluza, espinaca y queso - Solimeno",FRZ
49,2,Canasta de frutas chica (4 productos) - Misión Verde,FYV
49,3,Canasta de verdura chica (9 productos) - Misión Verde,FYV
49,1,Canasta de frutas grande (6 productos) - Misión Verde,FYV
49,1,Champiniones 250 g - Misión Verde,FYV
49,1,Jabon cremoso x 3 u x 125 g - Nivea,LIM
49,2,Detergente 300 ml - Cif,LIM
49,1,Esponja cuadriculada 1 u - Mortimer,LIM
